Player,Age,Team,G,GS,MP,FGA,FG_pct,FTA,TRB,AST,stocks,PTS,Value_Billions,Awards,n_awards_won,awards_0,awards_1,awards_2plus,avg_salary_millions,Age_22_26,Age_27_31,Age_32_34,Age_35_plus,Pos_PF,Pos_PG,Pos_SF,Pos_SG
Patty Mills,36.0,2TM,29.0,0.0,11.1,3.3,0.375,0.5,0.8,0.9,0.5,3.8,,,0,1,0,0,,0,0,0,1,0,1,0,0
Branden Carlson,25.0,OKC,32.0,0.0,7.7,3.0,0.443,0.6,1.7,0.4,0.9,3.8,4.35,,0,1,0,0,,1,0,0,0,0,0,0,0
Devin Carter,22.0,SAC,36.0,0.0,11.0,3.5,0.37,1.2,2.1,1.1,0.7,3.8,4.45,,0,1,0,0,5.8176,1,0,0,0,0,1,0,0
Ousmane Dieng,21.0,OKC,37.0,1.0,10.9,3.4,0.432,0.4,2.2,0.8,0.7,3.8,4.35,,0,1,0,0,6.6709,0,0,0,0,0,0,0,0
Markieff Morris,35.0,2TM,15.0,2.0,11.0,4.7,0.3,0.4,1.5,1.4,0.3,3.7,,,0,1,0,0,,0,0,0,1,1,0,0,0
Emoni Bates,21.0,CLE,10.0,0.0,7.5,3.8,0.342,0.0,0.7,0.8,0.2,3.7,4.8,,0,1,0,0,,0,0,0,0,0,0,1,0
DeAndre Jordan,36.0,DEN,56.0,5.0,12.3,2.5,0.65,1.1,5.1,0.9,0.8,3.7,4.6,,0,1,0,0,,0,0,0,1,0,0,0,0
Craig Porter Jr.,24.0,CLE,51.0,1.0,10.1,2.7,0.514,0.6,1.3,1.4,0.6,3.7,4.8,,0,1,0,0,2.3139,1,0,0,0,0,1,0,0
Jackson Rowe,28.0,GSW,6.0,0.0,8.7,2.8,0.471,1.0,1.8,0.7,0.7,3.7,11.0,,0,1,0,0,,0,1,0,0,1,0,0,0
Blake Wesley,21.0,SAS,58.0,0.0,11.8,3.2,0.435,1.1,1.1,2.0,0.7,3.7,4.4,,0,1,0,0,7.0226,0,0,0,0,0,0,0,1
JT Thor,22.0,2TM,20.0,0.0,12.5,3.0,0.424,1.1,2.4,0.3,0.9,3.6,,,0,1,0,0,,1,0,0,0,1,0,0,0
Baylor Scheierman,24.0,BOS,31.0,2.0,12.4,3.5,0.355,0.4,2.1,1.1,0.6,3.6,6.7,,0,1,0,0,3.4387,1,0,0,0,0,0,0,1
Jae'Sean Tate,29.0,HOU,52.0,2.0,11.3,2.8,0.473,0.9,2.3,0.9,0.6,3.6,5.9,,0,1,0,0,2.2963,0,1,0,0,0,0,1,0
Jaylon Tyson,22.0,CLE,47.0,3.0,9.6,3.2,0.43,0.5,2.0,0.9,0.4,3.6,4.8,,0,1,0,0,4.2642,1,0,0,0,0,0,0,1
Elfrid Payton,30.0,2TM,24.0,9.0,21.3,5.1,0.328,0.3,3.3,6.9,1.5,3.5,,,0,1,0,0,,0,1,0,0,0,1,0,0
Luka Garza,26.0,MIN,39.0,0.0,5.6,2.7,0.495,0.9,1.4,0.3,0.3,3.5,3.6,,0,1,0,0,2.6314,1,0,0,0,0,0,0,0
Cory Joseph,33.0,ORL,50.0,16.0,12.2,3.1,0.403,0.4,1.5,1.4,0.6,3.5,3.9,,0,1,0,0,,0,0,1,0,0,1,0,0
Doug McDermott,33.0,SAC,42.0,3.0,8.1,2.8,0.427,0.1,0.5,0.2,0.1,3.5,4.45,,0,1,0,0,2.2963,0,0,1,0,0,0,1,0
Dario Šarić,30.0,DEN,16.0,4.0,13.1,3.6,0.362,0.6,3.1,1.4,0.5,3.5,4.6,,0,1,0,0,5.4264,0,1,0,0,0,0,0,0
